DATE 	LAT 	LON 	magni 	DEPTHkm 	REGION
23-JUN-2012 07:43:49 	51.49 	-177.76 	5.0 	62.9 	ANDREANOF ISLANDS, ALEUTIAN IS.
23-JUN-2012 07:42:45 	-7.37 	128.85 	4.7 	149.6 	BANDA SEA
23-JUN-2012 06:39:32 	-34.56 	-71.92 	4.0 	47.4 	NEAR COAST OF CENTRAL CHILE
23-JUN-2012 04:34:52 	3.02 	97.91 	6.3 	91.4 	NORTHERN SUMATERA, INDONESIA
23-JUN-2012 03:51:57 	39.32 	-119.98 	4.2 	6.5 	NEVADA
23-JUN-2012 03:29:35 	-4.63 	130.06 	4.5 	45.8 	BANDA SEA
23-JUN-2012 01:18:58 	-23.87 	-13.52 	4.7 	10.0 	SOUTHERN MID-ATLANTIC RIDGE
22-JUN-2012 18:10:37 	26.03 	144.37 	4.7 	14.9 	BONIN ISLANDS REGION
22-JUN-2012 12:30:19 	-30.36 	-175.59 	5.2 	9.6 	KERMADEC ISLANDS REGION
22-JUN-2012 12:12:49 	-33.06 	-178.25 	4.9 	14.6 	SOUTH OF KERMADEC ISLANDS
22-JUN-2012 07:58:43 	39.37 	143.47 	5.0 	29.6 	OFF EAST COAST OF HONSHU, JAPAN
22-JUN-2012 07:50:17 	56.77 	-152.95 	4.8 	15.0 	KODIAK ISLAND REGION
22-JUN-2012 05:22:43 	-17.83 	167.71 	4.9 	64.7 	VANUATU ISLANDS
22-JUN-2012 05:14:47 	1.23 	92.48 	4.8 	39.1 	OFF W COAST OF NORTHERN SUMATERA
22-JUN-2012 05:02:07 	-32.96 	-178.44 	5.1 	10.0 	SOUTH OF KERMADEC ISLANDS
22-JUN-2012 04:31:16 	-54.34 	158.82 	5.8 	12.1 	MACQUARIE ISLANDS REGION
22-JUN-2012 04:25:36 	-18.25 	-175.16 	4.5 	161.0 	TONGA ISLANDS
22-JUN-2012 02:20:07 	-32.95 	-178.68 	5.4 	16.9 	SOUTH OF KERMADEC ISLANDS
22-JUN-2012 00:03:12 	-33.00 	-179.83 	4.8 	35.1 	SOUTH OF KERMADEC ISLANDS
21-JUN-2012 23:52:56 	-32.89 	-178.64 	4.1 	37.4 	SOUTH OF KERMADEC ISLANDS
21-JUN-2012 22:34:38 	-17.87 	-178.10 	5.7 	545.7 	FIJI ISLANDS REGION
21-JUN-2012 22:17:11 	-11.49 	-76.33 	4.5 	38.3 	CENTRAL PERU
21-JUN-2012 20:32:50 	39.44 	143.34 	5.4 	33.1 	OFF EAST COAST OF HONSHU, JAPAN
21-JUN-2012 16:22:47 	-20.52 	-69.14 	4.5 	94.6 	NORTHERN CHILE
21-JUN-2012 12:22:18 	2.73 	123.06 	5.2 	461.0 	CELEBES SEA
21-JUN-2012 11:52:30 	-3.04 	129.84 	4.2 	41.4 	SERAM, INDONESIA
21-JUN-2012 11:40:34 	2.65 	128.27 	5.3 	114.7 	HALMAHERA, INDONESIA
21-JUN-2012 10:51:40 	12.62 	-88.08 	4.3 	64.2 	OFF COAST OF CENTRAL AMERICA
21-JUN-2012 10:00:00 	-3.20 	102.91 	4.3 	204.3 	SOUTHERN SUMATERA, INDONESIA
21-JUN-2012 09:24:22 	-35.55 	-72.18 	4.1 	9.9 	NEAR COAST OF CENTRAL CHILE
21-JUN-2012 05:18:40 	-25.82 	179.74 	4.7 	488.9 	SOUTH OF FIJI ISLANDS
21-JUN-2012 05:18:18 	-25.44 	-69.77 	4.4 	73.2 	NORTHERN CHILE
21-JUN-2012 03:43:03 	12.55 	143.98 	4.5 	30.5 	SOUTH OF MARIANA ISLANDS
21-JUN-2012 03:32:12 	12.56 	143.86 	4.0 	35.0 	SOUTH OF MARIANA ISLANDS
21-JUN-2012 03:25:53 	-38.23 	176.49 	4.5 	172.9 	NORTH ISLAND, NEW ZEALAND
21-JUN-2012 02:00:21 	26.28 	66.42 	4.4 	23.4 	PAKISTAN
21-JUN-2012 02:00:03 	39.43 	143.26 	4.0 	32.7 	OFF EAST COAST OF HONSHU, JAPAN
20-JUN-2012 23:56:33 	37.01 	140.97 	4.5 	46.1 	EASTERN HONSHU, JAPAN
20-JUN-2012 23:20:56 	-8.69 	157.01 	5.0 	10.0 	SOLOMON ISLANDS
20-JUN-2012 21:55:53 	0.10 	123.45 	5.4 	139.4 	MINAHASSA PENINSULA, SULAWESI
