calories	rating
70	68.402973
120	33.983679
70	59.425505
50	93.704912
110	34.384843
110	29.509541
110	33.174094
130	37.038562
90	49.120253
90	53.313813
120	18.042851
110	50.764999
120	19.823573
110	40.400208
110	22.736446
110	41.445019
100	45.863324
110	35.782791
110	22.396513
110	40.448772
100	64.533816
110	46.895644
100	36.176196
100	44.330856
110	32.207582
110	31.435973
100	58.345141
120	40.917047
120	41.015492
110	28.025765
100	35.252444
110	23.804043
100	52.076897
110	53.371007
120	45.811716
120	21.871292
110	31.072217
110	28.742414
110	36.523683
140	36.471512
110	39.241114
100	45.328074
110	26.734515
100	54.850917
150	37.136863
150	34.139765
160	30.313351
100	40.105965
120	29.924285
140	40.69232
90	59.642837
130	30.450843
120	37.840594
100	41.50354
50	60.756112
50	63.005645
100	49.511874
100	50.828392
120	39.259197
100	39.7034
90	55.333142
110	41.998933
110	40.560159
80	68.235885
90	74.472949
90	72.801787
110	31.230054
110	53.131324
90	59.363993
110	38.839746
140	28.592785
100	46.658844
110	39.106174
110	27.753301
100	49.787445
100	51.592193
110	36.187559
