Income	CCAvg	CreditCard
49	1.60	0
34	1.50	0
11	1.00	0
100	2.70	0
45	1.00	1
29	0.40	0
72	1.50	0
22	0.30	1
81	0.60	0
180	8.90	0
105	2.40	0
45	0.10	0
114	3.80	0
40	2.50	0
112	2.00	0
22	1.50	1
130	4.70	0
81	2.40	0
193	8.10	0
21	0.50	1
25	0.90	0
63	2.00	0
62	1.20	0
43	0.70	0
152	3.90	1
29	0.50	0
83	0.20	0
158	2.40	1
48	2.20	1
119	3.30	1
35	1.20	0
29	2.00	0
41	0.60	0
18	0.90	0
50	1.80	0
81	0.70	0
121	2.90	1
71	1.40	0
141	5.00	0
80	0.70	0
84	1.60	0
60	2.30	0
132	1.10	0
45	0.70	0
104	5.70	1
52	2.50	1
43	0.70	0
194	0.20	1
81	4.50	1
49	1.80	1
8	0.70	0
131	2.90	0
72	0.10	0
190	2.10	0
44	0.20	0
139	8.00	0
29	0.10	0
131	1.20	0
93	0.20	0
188	4.50	0
39	1.70	0
125	5.70	0
22	1.00	0
32	0.00	0
105	3.30	0
131	3.80	1
105	2.80	0
45	2.00	0
60	2.10	1
20	0.20	0
115	3.50	1
69	1.00	0
130	5.00	1
85	4.00	1
135	3.30	1
135	3.80	1
12	0.30	0
29	0.50	0
133	2.60	0
19	0.40	0
41	1.30	1
40	2.70	0
82	4.00	0
50	2.40	0
18	0.90	0
109	1.80	0
42	2.20	0
78	1.10	0
51	1.10	0
113	2.30	1
118	5.60	0
29	1.10	0
34	0.60	0
64	1.70	0
121	2.00	0
48	0.20	0
80	5.20	0
161	2.90	0
94	0.30	0
15	0.10	0
74	1.20	0
30	1.30	0
44	1.00	1
22	0.30	0
38	1.30	1
35	0.10	0
69	2.90	1
43	0.70	0
32	0.60	0
49	2.80	0
9	1.00	0
45	1.30	0
82	1.00	0
92	2.80	0
39	0.50	0
81	1.80	0
35	1.50	0
61	2.30	0
73	3.00	0
112	4.60	0
12	0.20	0
38	0.90	0
73	0.70	1
84	3.60	0
78	2.40	0
80	0.50	0
115	1.30	1
82	2.70	0
74	0.00	0
70	0.50	1
81	1.50	0
149	7.20	1
51	1.75	0
39	1.10	0
98	1.80	0
45	2.10	1
49	2.50	0
128	0.40	0
42	1.50	1
18	1.20	0
31	0.40	1
58	2.00	1
48	2.10	1
54	1.60	1
70	1.50	0
124	7.40	1
84	2.67	1
83	3.60	0
163	0.40	0
42	2.20	0
118	7.50	1
132	6.50	1
24	1.30	1
22	1.00	1
58	1.30	0
60	1.60	0
15	0.40	1
83	2.67	1
79	1.50	1
41	1.70	0
134	6.50	0
80	2.80	0
52	2.00	0
70	2.60	0
92	1.10	0
43	1.50	0
21	1.00	0
23	0.90	1
13	1.00	0
112	2.10	1
138	2.00	0
11	0.40	0
171	7.80	0
42	1.50	1
168	7.90	0
85	1.10	0
44	1.00	0
65	1.80	0
24	0.20	1
11	0.10	0
38	1.00	0
10	0.70	0
135	1.50	0
148	4.10	0
63	1.50	0
115	1.00	0
45	0.30	1
159	1.90	0
169	2.10	0
112	1.40	0
93	4.30	0
29	0.30	0
85	2.67	0
21	0.60	1
144	6.80	0
13	1.00	0
165	5.00	1
9	0.70	0
59	0.00	0
158	5.10	1
29	1.90	1
20	1.40	1
68	2.00	0
65	2.20	0
61	1.90	0
91	1.40	1
31	1.00	0
71	0.10	0
73	2.67	1
172	3.10	1
20	0.00	0
55	0.20	0
69	1.70	0
155	7.40	0
94	1.90	0
92	0.00	1
125	0.60	0
74	3.00	0
72	0.30	0
61	2.20	1
25	0.30	1
83	1.70	0
104	2.50	0
41	1.00	0
58	1.80	0
93	1.50	1
39	1.70	0
148	7.50	1
53	1.90	1
71	1.70	1
92	2.80	0
61	2.10	0
38	2.50	0
58	1.70	0
80	0.80	0
71	1.80	0
89	0.50	1
83	1.80	0
28	0.20	1
52	1.70	0
70	1.20	0
71	1.40	1
75	3.70	0
170	7.90	0
78	0.80	0
25	1.00	0
60	0.60	1
120	2.70	0
99	1.40	1
55	2.60	1
29	1.00	0
170	6.20	0
53	2.20	1
138	0.00	0
134	3.90	0
42	0.70	1
99	2.30	1
18	0.50	1
24	0.30	0
55	1.40	0
58	0.00	1
111	1.20	0
33	0.30	1
74	1.80	1
38	0.70	0
23	0.60	0
61	1.50	0
81	2.90	0
129	2.50	0
33	0.75	0
63	2.20	0
70	1.40	0
45	0.20	1
65	0.50	0
74	2.20	1
50	1.80	0
22	0.50	0
30	1.00	0
21	1.00	0
155	3.90	0
64	2.10	0
